nm	AOI	Psi	Delta
5.822784810126581760e+02	7.000000000000000000e+01	3.226528187524178293e+01	7.827316775323535580e+01
5.917721518987341369e+02	7.000000000000000000e+01	2.869969186008939488e+01	8.256566160584674208e+01
6.012658227848100978e+02	7.000000000000000000e+01	2.547221457754493912e+01	8.814994947794116342e+01
6.107594936708860587e+02	7.000000000000000000e+01	2.239216651364516153e+01	9.505586695276234366e+01
6.202531645569620196e+02	7.000000000000000000e+01	1.939897283204891565e+01	1.035195911839861793e+02
6.297468354430379804e+02	7.000000000000000000e+01	1.654220011950573621e+01	1.140370532756500381e+02
6.392405063291139413e+02	7.000000000000000000e+01	1.392822257726129820e+01	1.273615218137548197e+02
6.487341772151899022e+02	7.000000000000000000e+01	1.178643319414438295e+01	1.444824976857281342e+02
6.582278481012658631e+02	7.000000000000000000e+01	1.046256266255386613e+01	1.657638190602498014e+02
6.677215189873418240e+02	7.000000000000000000e+01	1.023392767697234973e+01	1.891384033453493601e+02
6.772151898734177848e+02	7.000000000000000000e+01	1.106482198262956906e+01	2.105998033980826847e+02
6.867088607594937457e+02	7.000000000000000000e+01	1.263050577707171485e+01	2.278005699267174577e+02
6.962025316455697066e+02	7.000000000000000000e+01	1.459274136511634978e+01	2.408910151001405495e+02
7.056962025316456675e+02	7.000000000000000000e+01	1.670511726888153348e+01	2.509369156781523884e+02
7.151898734177216284e+02	7.000000000000000000e+01	1.883834851625827511e+01	2.588479706240021301e+02
7.246835443037975892e+02	7.000000000000000000e+01	2.093572019063156375e+01	2.652306342535546264e+02
7.341772151898734364e+02	7.000000000000000000e+01	2.298587404306945814e+01	2.704579340700925059e+02
7.436708860759493973e+02	7.000000000000000000e+01	2.499592825065628077e+01	2.747876491703731290e+02
7.531645569620253582e+02	7.000000000000000000e+01	2.698524845302474517e+01	2.784057242537342063e+02
7.626582278481013191e+02	7.000000000000000000e+01	2.899008825191588556e+01	2.814316744413547440e+02
7.721518987341772799e+02	7.000000000000000000e+01	3.105702617145403366e+01	2.839569198585627987e+02
7.816455696202532408e+02	7.000000000000000000e+01	3.324440125831488757e+01	2.860571146416372130e+02
7.911392405063292017e+02	7.000000000000000000e+01	3.561961565134599539e+01	2.878086903383339745e+02
8.006329113924051626e+02	7.000000000000000000e+01	3.826305287600070670e+01	2.892972934423046354e+02
8.101265822784810098e+02	7.000000000000000000e+01	4.126890295522871810e+01	2.906315553284518955e+02
8.196202531645569707e+02	7.000000000000000000e+01	4.474243938745031812e+01	2.919652471368078750e+02
8.291139240506329315e+02	7.000000000000000000e+01	4.879728212166185841e+01	2.934962415876001387e+02
8.386075949367088924e+02	7.000000000000000000e+01	5.353702361922034925e+01	2.955081609360668153e+02
8.481012658227848533e+02	7.000000000000000000e+01	5.897445899293932570e+01	2.987572402750972742e+02
8.575949367088608142e+02	7.000000000000000000e+01	6.497218168409503392e+01	3.045822075663283499e+02
8.670886075949367751e+02	7.000000000000000000e+01	7.100899048260112068e+01	3.159075632817642827e+02
8.765822784810127359e+02	7.000000000000000000e+01	7.568280464712380251e+01	3.383319936033063300e+02
8.860759493670886968e+02	7.000000000000000000e+01	7.647283530930860707e+01	1.181670737841260888e+01
8.955696202531646577e+02	7.000000000000000000e+01	7.294155383525172454e+01	3.803270741838005620e+01
9.050632911392406186e+02	7.000000000000000000e+01	6.762135900545207789e+01	5.178086919572274383e+01
9.145569620253164658e+02	7.000000000000000000e+01	6.218493887435570144e+01	5.883189982450787170e+01
9.240506329113924266e+02	7.000000000000000000e+01	5.722532877817847208e+01	6.274048184949199225e+01
9.335443037974683875e+02	7.000000000000000000e+01	5.289292822505828440e+01	6.510117479367592352e+01
9.430379746835443484e+02	7.000000000000000000e+01	4.917142212443501137e+01	6.666406449301997839e+01
9.525316455696203093e+02	7.000000000000000000e+01	4.598656392691955119e+01	6.781268894349118170e+01
9.620253164556962702e+02	7.000000000000000000e+01	4.325128932921339953e+01	6.875697058950940743e+01
9.715189873417722310e+02	7.000000000000000000e+01	4.088375664206588311e+01	6.961738309954246517e+01
9.810126582278481919e+02	7.000000000000000000e+01	3.881339135306674848e+01	7.046511891611569922e+01
9.905063291139241528e+02	7.000000000000000000e+01	3.698177767229211810e+01	7.134283530746195368e+01
1.000000000000000000e+03	7.000000000000000000e+01	3.534155030154794019e+01	7.227610465375803983e+01
