Sample description: 
Sample:   c= 0.5 mg/ml  Code: 
Parent(s): 
 7.326129e-001  4.118100e+000  2.741924e-001
 7.377649e-001  4.254460e+000  2.707580e-001
 7.429169e-001  3.909340e+000  2.692198e-001
 7.480689e-001  4.226860e+000  2.692986e-001
 7.532209e-001  4.030780e+000  2.662094e-001
 7.583730e-001  4.035540e+000  2.663468e-001
 7.635250e-001  3.861640e+000  2.671356e-001
 7.686770e-001  3.708700e+000  2.652916e-001
 7.738290e-001  3.675600e+000  2.632878e-001
 7.789810e-001  3.271920e+000  2.620862e-001
 7.841330e-001  3.515680e+000  2.611918e-001
 7.892851e-001  3.086920e+000  2.587966e-001
 7.944371e-001  3.436780e+000  2.608538e-001
 7.995891e-001  2.962820e+000  2.561582e-001
 8.047411e-001  3.343300e+000  2.573604e-001
 8.098931e-001  3.607940e+000  2.578454e-001
 8.150452e-001  2.820780e+000  2.531696e-001
 8.201972e-001  3.116120e+000  2.531010e-001
 8.253492e-001  2.684980e+000  2.525304e-001
 8.305012e-001  3.506360e+000  2.500646e-001
 8.356532e-001  2.875940e+000  2.493692e-001
 8.408052e-001  2.662780e+000  2.489762e-001
 8.459573e-001  2.848740e+000  2.481102e-001
 8.511093e-001  2.609520e+000  2.472020e-001
 8.562613e-001  2.273900e+000  2.459874e-001
 8.614133e-001  2.665260e+000  2.460420e-001
 8.665653e-001  2.149680e+000  2.446360e-001
 8.717174e-001  2.234240e+000  2.448960e-001
 8.768694e-001  2.536940e+000  2.426392e-001
 8.820214e-001  2.579420e+000  2.431898e-001
 8.871734e-001  2.590520e+000  2.428106e-001
 8.923254e-001  2.459400e+000  2.410934e-001
 8.974774e-001  2.869040e+000  2.408258e-001
 9.026295e-001  2.180260e+000  2.402160e-001
 9.077815e-001  2.431620e+000  2.381488e-001
 9.129335e-001  2.398660e+000  2.382550e-001
 9.180855e-001  2.207500e+000  2.370888e-001
 9.232375e-001  2.417900e+000  2.358854e-001
 9.283896e-001  2.519760e+000  2.357680e-001
 9.335416e-001  2.168340e+000  2.355752e-001
 9.386936e-001  2.384480e+000  2.341882e-001
 9.438456e-001  2.783420e+000  2.328846e-001
 9.489976e-001  2.523280e+000  2.334172e-001
 9.541496e-001  2.478620e+000  2.322136e-001
 9.593017e-001  2.387380e+000  2.316860e-001
 9.644537e-001  2.648860e+000  2.308292e-001
 9.696057e-001  2.256880e+000  2.303906e-001
 9.747577e-001  2.059620e+000  2.275838e-001
 9.799097e-001  2.474660e+000  2.299008e-001
 9.850617e-001  2.415620e+000  2.325858e-001
 9.902138e-001  2.529260e+000  2.324220e-001
 9.953658e-001  2.550080e+000  2.346004e-001
 1.000518e+000  2.432240e+000  2.359602e-001
 1.005670e+000  2.404940e+000  2.341842e-001
 1.010822e+000  2.481380e+000  2.375138e-001
 1.015974e+000  2.191600e+000  2.382644e-001
 1.021126e+000  2.363420e+000  2.367098e-001
 1.026278e+000  1.975700e+000  2.384600e-001
 1.031430e+000  2.497920e+000  2.383460e-001
 1.036582e+000  2.526220e+000  2.363228e-001
 1.041734e+000  2.516460e+000  2.383594e-001
 1.046886e+000  2.181860e+000  2.386998e-001
 1.052038e+000  2.357160e+000  2.360124e-001
 1.057190e+000  2.482880e+000  2.373106e-001
 1.062342e+000  2.595640e+000  2.380120e-001
 1.067494e+000  2.478280e+000  2.366444e-001
 1.072646e+000  2.635500e+000  2.385008e-001
 1.077798e+000  2.472940e+000  2.380408e-001
 1.082950e+000  2.488420e+000  2.371290e-001
 1.088102e+000  2.613000e+000  2.376508e-001
 1.093254e+000  2.396740e+000  2.375188e-001
 1.098406e+000  3.090220e+000  2.368070e-001
 1.103558e+000  2.589800e+000  2.376250e-001
 1.108710e+000  2.879260e+000  2.376950e-001
 1.113862e+000  2.901960e+000  2.429310e-001
 1.119014e+000  2.620940e+000  2.430020e-001
 1.124166e+000  2.428020e+000  2.458472e-001
 1.129318e+000  2.890940e+000  2.463860e-001
 1.134470e+000  2.786160e+000  2.487300e-001
 1.139622e+000  2.614740e+000  2.485374e-001
 1.144774e+000  2.938120e+000  2.484994e-001
 1.149926e+000  2.749760e+000  2.485648e-001
 1.155078e+000  2.234140e+000  2.484602e-001
 1.160230e+000  2.670480e+000  2.493490e-001
 1.165382e+000  3.361340e+000  2.492436e-001
 1.170534e+000  3.253060e+000  2.502182e-001
 1.175686e+000  3.223220e+000  2.485248e-001
 1.180838e+000  2.407020e+000  2.436786e-001
 1.185990e+000  3.216160e+000  2.429700e-001
 1.191142e+000  3.062480e+000  2.436792e-001
 1.196294e+000  2.920500e+000  2.465918e-001
 1.201447e+000  2.922420e+000  2.455436e-001
 1.206599e+000  2.884540e+000  2.434070e-001
 1.211751e+000  2.340720e+000  2.447020e-001
 1.216903e+000  3.306360e+000  2.458438e-001
 1.222055e+000  2.859360e+000  2.430150e-001
 1.227207e+000  2.989720e+000  2.453288e-001
 1.232359e+000  3.005960e+000  2.453514e-001
 1.237511e+000  2.746360e+000  2.433916e-001
 1.242663e+000  3.301640e+000  2.467510e-001
 1.247815e+000  3.076900e+000  2.450688e-001
 1.252967e+000  3.248220e+000  2.436248e-001
 1.258119e+000  3.240400e+000  2.452122e-001
 1.263271e+000  3.273780e+000  2.453230e-001
 1.268423e+000  3.437180e+000  2.435364e-001
 1.273575e+000  3.100000e+000  2.447788e-001
 1.278727e+000  2.690940e+000  2.434376e-001
 1.283879e+000  2.884280e+000  2.431402e-001
 1.289031e+000  3.279500e+000  2.472266e-001
 1.294183e+000  3.250100e+000  2.488556e-001
 1.299335e+000  3.618980e+000  2.504634e-001
 1.304487e+000  3.001880e+000  2.517476e-001
 1.309639e+000  3.210860e+000  2.527132e-001
 1.314791e+000  2.808780e+000  2.546034e-001
 1.319943e+000  3.321300e+000  2.557936e-001
 1.325095e+000  3.211980e+000  2.571184e-001
 1.330247e+000  2.846560e+000  2.585240e-001
 1.335399e+000  3.225820e+000  2.601572e-001
 1.340551e+000  3.448960e+000  2.596520e-001
 1.345703e+000  3.354620e+000  2.618064e-001
 1.350855e+000  3.492400e+000  2.625744e-001
 1.356007e+000  3.148440e+000  2.590056e-001
 1.361159e+000  3.414480e+000  2.561986e-001
 1.366311e+000  3.618500e+000  2.564764e-001
 1.371463e+000  3.343760e+000  2.542360e-001
 1.376615e+000  3.141900e+000  2.531274e-001
 1.381767e+000  3.068000e+000  2.518538e-001
 1.386919e+000  3.484820e+000  2.524664e-001
 1.392071e+000  3.914880e+000  2.517296e-001
 1.397223e+000  3.485860e+000  2.503206e-001
 1.402375e+000  3.995300e+000  2.506026e-001
 1.407527e+000  3.415960e+000  2.488352e-001
 1.412679e+000  3.431760e+000  2.496326e-001
 1.417831e+000  3.638260e+000  2.502982e-001
 1.422983e+000  3.455120e+000  2.479082e-001
 1.428135e+000  3.587260e+000  2.484086e-001
 1.433287e+000  3.107020e+000  2.472904e-001
 1.438439e+000  3.577120e+000  2.468730e-001
