undeformed,,HighStrain,
X,Y,X,Y
4.10583258768979,0.9662869670321153,1.8592529381336362,0.9701583482042805
3.5593672675274917,0.9462178926561955,4.324418715754732,0.9431746144085575
12.330411648718524,0.958499035437356,10.784853167451388,0.9166924474978041
12.059938914496769,0.9348718474615155,11.756347069962146,0.9009910514331356
14.610110408587559,0.9233860598983215,18.23920061171674,0.8783806565822915
21.646694716356564,0.9099568757912749,20.56051056146606,0.858960342455866
20.62122893037298,0.9352331073623406,25.34208211288626,0.8328847615340415
29.408832866720445,0.9128366873580788,32.67382515839728,0.8162968248271034
33.31136803191998,0.9327405175595133,38.11746046309108,0.7938432917802323
35.932377623068845,0.8979160292400574,46.55809218178044,0.7855548839255673
36.05473433616913,0.8786096878456835,51.020892296439314,0.7628373523741372
43.87636422172463,0.886054144931974,59.33811828043474,0.7674078202001633
45.63719692002542,0.9142199956524597,65.37066681477555,0.7491721819364594
52.86268281994933,0.8783660965308713,69.80310774498096,0.7317350946889956
55.271178119923945,0.859968488757901,77.93936917850871,0.7226199399524712
61.93829313715477,0.8450794904465201,83.03971216669026,0.6952362990398913
62.33474836942938,0.8768518511831641,88.50436536831336,0.7045650377352541
70.28885469623634,0.8638060451106105,91.54028381365956,0.6923768683278928
66.88862603744863,0.8442245959567874,95.36554105479573,0.7141099590690871
71.13891186093326,0.8770485256277394,100.89091262532577,0.6874180374516552
78.22272156674103,0.8624925464718602,107.21911596251402,0.662139369668703
79.59225810986385,0.8304573848365207,114.3855701148895,0.6721762934032856
87.34666846782136,0.8549535894583996,122.9923989074459,0.6544303065128289
87.14832179605875,0.8303849258306246,127.80938950739517,0.6386342432274702
96.02240340933423,0.8391741091432214,135.561101271179,0.6318783035348681
97.09834989052408,0.8592737741044476,141.8636679637177,0.6157896438828431
104.99952225469423,0.8261566169627487,150.1942281777476,0.6209854812500002
105.37303222100044,0.850624702332123,157.63222836884572,0.5915678058618614
113.64177009577969,0.8245034542002512,155.29457116592917,0.6349629869287323
114.41454933641327,0.8491649827224335,166.34531430698925,0.5921293631575564
121.63230744393078,0.8176176489917245,170.38308583929964,0.6022598222676074
122.56737032509741,0.8607535303303528,176.97102886570084,0.5969340853342411
122.33124333490383,0.8373651433986194,182.3547242421147,0.5785174213356385
130.41921413585064,0.8215142364546626,189.07017584322048,0.5954873205165148
128.94279906032438,0.8526298406407399,193.01585784935534,0.5801115194653537
138.71845645433902,0.8298052537834554,201.19765805956328,0.6181524975608277
138.71845645433908,0.8063140440719265,201.69352473896978,0.5679384064748021
146.49040767442526,0.8321845709362492,207.9981153771387,0.5380787088632377
147.56677875959346,0.8093915756678063,211.85606712460938,0.5615675877256259
155.42534919126714,0.8243150906444017,219.8989156828957,0.5174476537299001
155.79460479222146,0.7975950945153886,220.46562045936034,0.5512107273993501
