Wavenumber,Intensity,DataPoint
1492.657,1.984223,266
1496.514,2.691427,267
1500.371,4.196315,268
1504.228,5.617622,269
1508.085,6.67976,270
1511.942,7.410091,271
1515.799,7.791638,272
1519.656,8.032734,273
1523.513,8.565912,274
1527.37,9.312921,275
1531.227,9.491021,276
1535.084,8.727471,277
1538.941,7.878301,278
1542.798,7.998443,279
1546.655,8.848249,280
1550.512,9.292772,281
1554.369,9.031378,282
1558.226,8.978447,283
1562.083,9.790062,284
1565.94,10.87894,285
1569.797,11.27586,286
1573.654,10.84748,287
1577.511,10.21177,288
1581.368,9.824158,289
1585.225,9.513968,290
1589.082,8.733272,291
1592.939,7.145406,292
1596.796,5.226947,293
1600.653,4.250047,294
1604.51,5.188184,295
1608.367,7.569059,296
1612.224,9.899777,297
1616.081,11.27579,298
1619.938,11.9901,299
1623.795,12.52855,300
1627.652,12.80593,301
1631.509,12.70525,302
1635.366,12.52953,303
1639.223,12.38286,304
1643.08,11.8372,305
1646.937,10.85509,306
1650.794,10.35742,307
1654.651,11.06252,308
1658.508,12.28203,309
1662.365,12.73935,310
1666.222,12.20029,311
1670.079,11.42936,312
1673.936,10.88801,313
1677.793,10.45859,314
1681.65,10.22813,315
1685.507,10.46555,316
1689.364,10.83867,317
1693.221,10.70533,318
1697.078,10.3025,319
1700.935,10.61639,320
1704.792,11.82595,321
1708.649,12.90446,322
1712.506,13.1756,323
1716.363,13.25319,324
1720.22,13.79898,325
1724.077,14.24673,326
1727.934,13.64759,327
1731.791,12.18768,328
1735.648,10.93639,329
1739.505,10.42882,330
1743.362,10.37971,331
1747.219,10.62408,332
1751.076,11.4418,333
1754.933,12.82762,334
1758.79,14.13468,335
1762.647,14.74374,336
1766.504,14.73144,337
1770.361,14.68586,338
1774.218,15.06391,339
1778.075,15.77565,340
1781.932,16.2197,341
1785.789,15.77102,342
1789.646,14.44015,343
1793.503,12.98751,344
1797.36,12.20623,345
1801.217,12.23122,346
1805.074,12.74207,347
1808.931,13.55449,348
1812.788,14.60479,349
1816.645,15.57472,350
1820.502,16.10579,351
1824.359,16.3771,352
1828.216,16.93315,353
1832.073,17.83167,354
1835.93,18.45689,355
1839.786,18.38223,356
1843.644,17.97379,357
1847.5,17.81316,358
1851.358,17.8328,359
1855.214,17.41233,360
1859.072,16.22121,361
1862.928,14.67043,362
1866.786,13.54327,363
1870.642,13.34211,364
1874.5,13.95826,365
1878.356,14.85025,366
1882.214,15.56039,367
1886.07,16.11099,368
1889.927,16.84685,369
1893.784,17.89681,370
1897.641,18.94111,371
1901.498,19.55289,372
1905.355,19.5932,373
1909.212,19.18694,374
1913.069,18.51313,375
1916.926,17.78076,376
1920.783,17.23214,377
1924.64,16.91851,378
1928.497,16.53516,379
1932.354,15.71866,380
1936.211,14.54225,381
1940.068,13.5577,382
1943.925,13.2944,383
1947.782,13.80772,384
1951.639,14.73143,385
1955.496,15.66116,386
1959.353,16.43765,387
1963.21,17.13731,388
1967.067,17.8683,389
1970.924,18.58263,390
1974.781,19.07948,391
1978.638,19.20247,392
1982.495,19.02564,393
1986.352,18.82735,394
1990.209,18.88615,395
1994.066,19.30012,396
1997.923,19.95542,397
2001.78,20.62263,398
2005.637,21.10393,399
2009.494,21.34364,400
2013.351,21.42101,401
2017.208,21.43565,402
2021.065,21.41003,403
2024.922,21.30097,404
2028.779,21.07146,405
2032.636,20.73413,406
2036.493,20.35601,407
2040.35,20.04407,408
2044.207,19.89532,409
2048.064,19.92851,410
2051.921,20.07921,411
2055.778,20.27958,412
2059.635,20.52038,413
2063.492,20.81632,414
2067.349,21.13929,415
2071.206,21.41448,416
2075.063,21.56568,417
2078.92,21.54623,418
2082.777,21.35108,419
2086.634,21.0267,420
2090.491,20.65476,421
2094.348,20.30336,422
2098.205,20.00275,423
2102.062,19.77422,424
2105.919,19.65499,425
2109.776,19.67511,426
2113.633,19.83017,427
2117.49,20.09164,428
2121.347,20.42089,429
2125.204,20.75788,430
2129.061,21.02514,431
2132.918,21.16904,432
2136.775,21.1831,433
2140.632,21.07939,434
2144.489,20.86363,435
2148.346,20.55639,436
2152.203,20.21138,437
2156.06,19.88828,438
2159.917,19.62483,439
2163.774,19.44957,440
2167.631,19.39352,441
2171.488,19.46493,442
2175.345,19.63463,443
2179.202,19.86698,444
2183.059,20.14309,445
2186.916,20.43352,446
2190.773,20.6748,447
2194.63,20.80155,448
2198.487,20.78757,449
2202.344,20.63995,450
2206.201,20.379,451
2210.058,20.04637,452
2213.915,19.707,453
2217.772,19.41419,454
2221.629,19.18804,455
2225.486,19.04365,456
2229.343,19.01108,457
2233.2,19.10082,458
2237.057,19.27391,459
2240.914,19.47334,460
2244.771,19.66327,461
2248.628,19.81636,462
2252.485,19.89417,463
2256.342,19.87317,464
2260.199,19.76745,465
2264.056,19.59913,466
2267.913,19.37329,467
2271.77,19.1059,468
2275.627,18.83738,469
2279.484,18.58254,470
2283.341,18.3049,471
2287.198,17.9806,472
2291.055,17.6421,473
2294.912,17.30184,474
2298.769,16.87268,475
2302.626,16.2364,476
2306.483,15.37026,477
2310.34,14.34399,478
2314.197,13.22099,479
2318.054,12.03801,480
2321.911,10.85969,481
2325.768,9.771893,482
2329.625,8.841496,483
2333.482,8.165202,484
2337.339,7.904891,485
2341.196,8.107718,486
2345.053,8.470044,487
2348.91,8.468583,488
2352.767,7.86404,489
2356.624,7.005652,490
2360.481,6.551347,491
2364.338,6.954488,492
2368.195,8.277624,493
2372.052,10.34315,494
2375.909,12.8407,495
2379.766,15.30509,496
2383.623,17.22261,497
2387.48,18.31144,498
2391.337,18.66911,499
2395.194,18.61108,500
2399.051,18.41604,501
2402.908,18.23642,502
2406.765,18.14653,503
2410.622,18.17481,504
2414.479,18.30292,505
2418.336,18.49196,506
2422.193,18.71424,507
2426.05,18.94237,508
2429.907,19.13,509
2433.764,19.23298,510
2437.621,19.23753,511
2441.478,19.14941,512
2445.335,18.97336,513
2449.192,18.7245,514
2453.049,18.44294,515
2456.906,18.17371,516
2460.763,17.94143,517
2464.62,17.75972,518
2468.477,17.64999,519
2472.334,17.62995,520
2476.191,17.69266,521
2480.048,17.81301,522
2483.905,17.96542,523
2487.762,18.12019,524
2491.619,18.23449,525
2495.476,18.26794,526
2499.333,18.20649,527
2503.19,18.06159,528
2507.047,17.85449,529
2510.904,17.61283,530
2514.761,17.37281,531
2518.618,17.16814,532
2522.475,17.01819,533
2526.332,16.93339,534
2530.189,16.92273,535
2534.046,16.98548,536
2537.903,17.10428,537
2541.76,17.258,538
2545.617,17.43234,539
2549.474,17.60634,540
2553.331,17.73994,541
2557.188,17.79228,542
2561.045,17.74734,543
2564.902,17.60906,544
2568.759,17.38351,545
2572.615,17.08967,546
2576.473,16.78357,547
2580.33,16.54187,548
2584.187,16.4059,549
2588.043,16.35341,550
2591.901,16.33631,551
2595.758,16.33968,552
2599.615,16.39526,553
2603.471,16.53961,554
2607.329,16.76234,555
2611.186,16.99119,556
2615.042,17.12588,557
2618.899,17.09696,558
2622.757,16.90789,559
2626.614,16.63026,560
2630.47,16.35764,561
2634.327,16.1527,562
2638.185,16.02478,563
2642.042,15.94946,564
2645.898,15.90869,565
2649.755,15.91184,566
2653.613,15.97819,567
2657.469,16.10557,568
2661.326,16.26442,569
2665.183,16.4196,570
2669.041,16.54619,571
2672.897,16.62401,572
2676.754,16.63277,573
2680.611,16.56318,574
2684.469,16.42634,575
2688.325,16.24542,576
2692.182,16.04409,577
2696.039,15.84681,578
2699.896,15.68029,579
2703.753,15.56516,580
2707.61,15.51049,581
2711.467,15.5204,582
2715.324,15.59759,583
2719.181,15.73351,584
2723.038,15.90245,585
2726.895,16.07253,586
2730.752,16.21619,587
2734.609,16.30645,588
2738.466,16.31572,589
2742.323,16.23087,590
2746.18,16.06502,591
2750.037,15.84793,592
2753.894,15.61131,593
2757.751,15.38661,594
2761.608,15.20231,595
2765.465,15.07131,596
2769.322,14.98942,597
2773.179,14.95453,598
2777.036,14.97345,599
2780.893,15.03686,600
2784.75,15.09919,601
2788.607,15.10002,602
2792.464,15.00072,603
2796.321,14.79493,604
2800.178,14.50146,605
2804.035,14.16391,606
2807.892,13.84106,607
2811.749,13.57311,608
2815.606,13.35561,609
2819.463,13.13844,610
2823.32,12.80644,611
2827.177,12.14112,612
2831.034,10.87892,613
2834.891,8.928861,614
2838.748,6.572321,615
2842.605,4.387038,616
2846.462,2.912012,617
2850.319,2.362898,618
2854.176,2.619805,619
2858.033,3.386955,620
2861.89,4.318424,621
2865.747,5.081267,622
2869.604,5.44012,623
2873.461,5.343324,624
2877.318,4.907282,625
2881.175,4.29831,626
2885.032,3.629148,627
2888.889,2.944773,628
2892.746,2.262249,629
2896.603,1.607198,630
2900.46,1.027583,631
2904.317,0.5794642,632
2908.174,0.2894934,633
2912.031,0.1322252,634
2915.888,0.05475282,635
2919.745,0.01928669,636
2923.602,0.01326411,637
2927.459,0.03596122,638
2931.316,0.1057729,639
2935.173,0.2817999,640
2939.03,0.6533788,641
2942.887,1.294349,642
2946.744,2.224659,643
2950.601,3.397589,644
2954.458,4.701298,645
2958.315,5.982787,646
2962.172,7.105177,647
2966.029,8.001957,648
2969.886,8.68184,649
2973.743,9.192845,650
2977.6,9.571287,651
2981.457,9.769993,652
2985.314,9.609727,653
