Wavenumber,Intensity,DataPoint
1500.371,13.56036,268
1504.228,12.32783,269
1508.085,11.39925,270
1511.942,11.1246,271
1515.799,11.05181,272
1519.656,10.94926,273
1523.513,11.29455,274
1527.37,12.14057,275
1531.227,12.48067,276
1535.084,11.68939,277
1538.941,10.80393,278
1542.798,11.17996,279
1546.655,12.40009,280
1550.512,12.87207,281
1554.369,12.28467,282
1558.226,12.02746,283
1562.083,13.02641,284
1565.94,14.54832,285
1569.797,15.64145,286
1573.654,16.55952,287
1577.511,17.98662,288
1581.368,19.71922,289
1585.225,20.97158,290
1589.082,21.46618,291
1592.939,21.50897,292
1596.796,21.3483,293
1600.653,21.02284,294
1604.51,20.54356,295
1608.367,19.81496,296
1612.224,18.71284,297
1616.081,17.53733,298
1619.938,16.91671,299
1623.795,16.94268,300
1627.652,16.94899,301
1631.509,16.48596,302
1635.366,15.85309,303
1639.223,15.26107,304
1643.08,14.31334,305
1646.937,13.01443,306
1650.794,12.45948,307
1654.651,13.50402,308
1658.508,15.3062,309
1662.365,16.25452,310
1666.222,15.95644,311
1670.079,15.26969,312
1673.936,14.74454,313
1677.793,14.23766,314
1681.65,13.85316,315
1685.507,13.94969,316
1689.364,14.17113,317
1693.221,13.74319,318
1697.078,12.93165,319
1700.935,12.95667,320
1704.792,14.11439,321
1708.649,15.23572,322
1712.506,15.54531,323
1716.363,15.81105,324
1720.22,16.82249,325
1724.077,17.83274,326
1727.934,17.63838,327
1731.791,16.46513,328
1735.648,15.59445,329
1739.505,15.55365,330
1743.362,15.82222,331
1747.219,16.11538,332
1751.076,16.80749,333
1754.933,17.95496,334
1758.79,18.83558,335
1762.647,18.82892,336
1766.504,18.2178,337
1770.361,17.83033,338
1774.218,18.19466,339
1778.075,19.14919,340
1781.932,20.01468,341
1785.789,20.14592,342
1789.646,19.58241,343
1793.503,19.10296,344
1797.36,19.39042,345
1801.217,20.2959,346
1805.074,21.21306,347
1808.931,21.89408,348
1812.788,22.41094,349
1816.645,22.56659,350
1820.502,22.05226,351
1824.359,21.17993,352
1828.216,20.75338,353
1832.073,21.02192,354
1835.93,21.35984,355
1839.786,21.26439,356
1843.644,21.13627,357
1847.5,21.64436,358
1851.358,22.67091,359
1855.214,23.36726,360
1859.072,23.15053,361
1862.928,22.31606,362
1866.786,21.68729,363
1870.642,21.84436,364
1874.5,22.64993,365
1878.356,23.40955,366
1882.214,23.54699,367
1886.07,23.16878,368
1889.927,22.87114,369
1893.784,23.00778,370
1897.641,23.35458,371
1901.498,23.51867,372
1905.355,23.39463,373
1909.212,23.09381,374
1913.069,22.71064,375
1916.926,22.38942,376
1920.783,22.40448,377
1924.64,22.87331,378
1928.497,23.47599,379
1932.354,23.72189,380
1936.211,23.49073,381
1940.068,23.13136,382
1943.925,23.03549,383
1947.782,23.26594,384
1951.639,23.59762,385
1955.496,23.77828,386
1959.353,23.72337,387
1963.21,23.55876,388
1967.067,23.50457,389
1970.924,23.65757,390
1974.781,23.8784,391
1978.638,23.93329,392
1982.495,23.73729,393
1986.352,23.42657,394
1990.209,23.22184,395
1994.066,23.25478,396
1997.923,23.48371,397
2001.78,23.72446,398
2005.637,23.79157,399
2009.494,23.65924,400
2013.351,23.47385,401
2017.208,23.39235,402
2021.065,23.4417,403
2024.922,23.54488,404
2028.779,23.62066,405
2032.636,23.62497,406
2036.493,23.55685,407
2040.35,23.47338,408
2044.207,23.45285,409
2048.064,23.4992,410
2051.921,23.52437,411
2055.778,23.46218,412
2059.635,23.35405,413
2063.492,23.28419,414
2067.349,23.27731,415
2071.206,23.30138,416
2075.063,23.3254,417
2078.92,23.32868,418
2082.777,23.29329,419
2086.634,23.23249,420
2090.491,23.19479,421
2094.348,23.2028,422
2098.205,23.2205,423
2102.062,23.21054,424
2105.919,23.18495,425
2109.776,23.16863,426
2113.633,23.15559,427
2117.49,23.13619,428
2121.347,23.12616,429
2125.204,23.13207,430
2129.061,23.12743,431
2132.918,23.09839,432
2136.775,23.07456,433
2140.632,23.07973,434
2144.489,23.09141,435
2148.346,23.08382,436
2152.203,23.07119,437
2156.06,23.07239,438
2159.917,23.07231,439
2163.774,23.05566,440
2167.631,23.041,441
2171.488,23.04392,442
2175.345,23.04341,443
2179.202,23.02129,444
2183.059,22.99836,445
2186.916,22.99466,446
2190.773,22.99132,447
2194.63,22.96858,448
2198.487,22.94448,449
2202.344,22.93805,450
2206.201,22.93165,451
2210.058,22.90765,452
2213.915,22.88524,453
2217.772,22.88159,454
2221.629,22.8741,455
2225.486,22.84077,456
2229.343,22.80103,457
2233.2,22.77623,458
2237.057,22.74742,459
2240.914,22.69324,460
2244.771,22.6312,461
2248.628,22.57917,462
2252.485,22.51543,463
2256.342,22.42153,464
2260.199,22.32623,465
2264.056,22.26291,466
2267.913,22.22332,467
2271.77,22.19459,468
2275.627,22.18961,469
2279.484,22.187,470
2283.341,22.09331,471
2287.198,21.82987,472
2291.055,21.41194,473
2294.912,20.87687,474
2298.769,20.18436,475
2302.626,19.26544,476
2306.483,18.12724,477
2310.34,16.83192,478
2314.197,15.42283,479
2318.054,13.96465,480
2321.911,12.6069,481
2325.768,11.49628,482
2329.625,10.66696,483
2333.482,10.13114,484
2337.339,10.00221,485
2341.196,10.31684,486
2345.053,10.73103,487
2348.91,10.64749,488
2352.767,9.806658,489
2356.624,8.643598,490
2360.481,7.946062,491
2364.338,8.246319,492
2368.195,9.613908,493
2372.052,11.84726,494
2375.909,14.6086,495
2379.766,17.39825,496
2383.623,19.66131,497
2387.48,21.08377,498
2391.337,21.74803,499
2395.194,21.96181,500
2399.051,21.99015,501
2402.908,21.9629,502
2406.765,21.9311,503
2410.622,21.91209,504
2414.479,21.89619,505
2418.336,21.86961,506
2422.193,21.83881,507
2426.05,21.81616,508
2429.907,21.79703,509
2433.764,21.77106,510
2437.621,21.74224,511
2441.478,21.71929,512
2445.335,21.69839,513
2449.192,21.67154,514
2453.049,21.64183,515
2456.906,21.61639,516
2460.763,21.59286,517
2464.62,21.56528,518
2468.477,21.53588,519
2472.334,21.50996,520
2476.191,21.48553,521
2480.048,21.45784,522
2483.905,21.42851,523
2487.762,21.40179,524
2491.619,21.37646,525
2495.476,21.34897,526
2499.333,21.32053,527
2503.19,21.2943,528
2507.047,21.26906,529
2510.904,21.24161,530
2514.761,21.21263,531
2518.618,21.18472,532
2522.475,21.15739,533
2526.332,21.1285,534
2530.189,21.09855,535
2534.046,21.06937,536
2537.903,21.04049,537
2541.76,21.01025,538
2545.617,20.97922,539
2549.474,20.94911,540
2553.331,20.91973,541
2557.188,20.8897,542
2561.045,20.85919,543
2564.902,20.82945,544
2568.759,20.80049,545
2572.615,20.77131,546
2576.473,20.74187,547
2580.33,20.71285,548
2584.187,20.68419,549
2588.043,20.65528,550
2591.901,20.62624,551
2595.758,20.59774,552
2599.615,20.5699,553
2603.471,20.54225,554
2607.329,20.5146,555
2611.186,20.48687,556
2615.042,20.45876,557
2618.899,20.43002,558
2622.757,20.40093,559
2626.614,20.37184,560
2630.47,20.34252,561
2634.327,20.31246,562
2638.185,20.28166,563
2642.042,20.25055,564
2645.898,20.21936,565
2649.755,20.18797,566
2653.613,20.15621,567
2657.469,20.12424,568
2661.326,20.09232,569
2665.183,20.06044,570
2669.041,20.02837,571
2672.897,19.99605,572
2676.754,19.96378,573
2680.611,19.93167,574
2684.469,19.89934,575
2688.325,19.86622,576
2692.182,19.83238,577
2696.039,19.79826,578
2699.896,19.76405,579
2703.753,19.72943,580
2707.61,19.69404,581
2711.467,19.65779,582
2715.324,19.62098,583
2719.181,19.58442,584
2723.038,19.54926,585
2726.895,19.51589,586
2730.752,19.48316,587
2734.609,19.44947,588
2738.466,19.41436,589
2742.323,19.37853,590
2746.18,19.34245,591
2750.037,19.30592,592
2753.894,19.26905,593
2757.751,19.23248,594
2761.608,19.19637,595
2765.465,19.16026,596
2769.322,19.12405,597
2773.179,19.08825,598
2777.036,19.05296,599
2780.893,19.01751,600
2784.75,18.98164,601
2788.607,18.9459,602
2792.464,18.91057,603
2796.321,18.87508,604
2800.178,18.83902,605
2804.035,18.80279,606
2807.892,18.76661,607
2811.749,18.72989,608
2815.606,18.69217,609
2819.463,18.65382,610
2823.32,18.61506,611
2827.177,18.57501,612
2831.034,18.53247,613
2834.891,18.4867,614
2838.748,18.43692,615
2842.605,18.38238,616
