,Letter,Polymer
0,A,PVC
1,B,PVC
2,C,PS
3,D,PS
4,E,PS
5,F,PS
6,G,PVC
7,H,PVC
8,I,PS
9,J,PS
10,K,PS
11,L,PS
12,M,PS
13,N,PS
14,O,PVC
15,P,PVC
16,Q,PVC
17,R,PVC
18,S,PVC
19,T,PVC
