,Letter,Polymer
0,A,PP
1,B,LDPE
2,C,LDPE
3,D,LDPE
4,E,PP
5,F,HDPE
6,G,PP
7,H,PP
8,I,PP
9,J,PP
10,K,HDPE
11,L,HDPE
12,M,HDPE
13,N,PP
14,O,LDPE
15,P,LDPE
16,Q,HDPE
17,R,PP
18,S,PP
19,T,PP
