,Letter,Polymer
0,A,PET
1,B,PET
2,C,PVC
3,D,PET
4,E,PET
5,F,PVC
6,G,PET
7,H,PET
8,I,PET
9,J,PVC
10,K,PVC
11,L,PET
12,M,PET
13,N,PVC
14,O,PVC
15,P,PVC
16,Q,PVC
17,R,PVC
18,S,PET
19,T,PVC
