,Letter,Polymer
0,A,LDPE
1,B,HDPE
2,C,LDPE
3,D,LDPE
4,E,HDPE
5,F,HDPE
6,G,PS
7,H,PS
8,I,LDPE
9,J,PS
10,K,HDPE
11,L,LDPE
12,M,PS
13,N,PS
14,O,PS
15,P,PS
16,Q,HDPE
17,R,PS
18,S,PS
19,T,PS
